molecule_chembl_id,target_label,activity_id,target_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id,document_chembl_id,ln_ic50,gene,target_notes,target_pref_name
CHEMBL4458005,ETB,19405766,CHEMBL1785,IC50,=,611.0,nM,6.21,CHEMBL4426324,CHEMBL4425117,6.415096959171596,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4458215,TGFBR1,18980204,CHEMBL4439,IC50,=,1.0,nM,9.0,CHEMBL4339037,CHEMBL4334552,0.0,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL445934,TGFBR1,3009939,CHEMBL4439,IC50,=,24.0,nM,7.62,CHEMBL1048115,CHEMBL1155322,3.1780538303479458,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4460268,TGFBR1,19271641,CHEMBL4439,IC50,>,5000.0,nM,,CHEMBL4406752,CHEMBL4402613,8.517193191416238,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4460586,TGFBR1,19070757,CHEMBL4439,IC50,=,312.0,nM,6.51,CHEMBL4361670,CHEMBL4359846,5.7430031878094825,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4461256,TGFBR1,19070753,CHEMBL4439,IC50,=,55.0,nM,7.26,CHEMBL4361670,CHEMBL4359846,4.007333185232471,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL44615,ETA,1070083,CHEMBL252,IC50,=,65.0,nM,7.19,CHEMBL682358,CHEMBL1130042,4.174387269895637,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL44615,ETB,1070084,CHEMBL1785,IC50,=,81400.0,nM,4.09,CHEMBL670643,CHEMBL1130042,11.307130551990632,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4462192,PDE5,19231659,CHEMBL1827,IC50,=,0.62,nM,9.21,CHEMBL4397429,CHEMBL4396872,-0.4780358009429998,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4462548,ETA,19405656,CHEMBL252,IC50,>,100000.0,nM,,CHEMBL4426309,CHEMBL4425117,11.512925464970229,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4463633,ETA,19405745,CHEMBL252,IC50,=,0.7,nM,9.15,CHEMBL4426323,CHEMBL4425117,-0.35667494393873245,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4463633,ETB,19405782,CHEMBL1785,IC50,=,330.0,nM,6.48,CHEMBL4426324,CHEMBL4425117,5.799092654460526,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4464656,TGFBR1,19453922,CHEMBL4439,IC50,=,14.0,nM,7.85,CHEMBL4434540,CHEMBL4433262,2.6390573296152584,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4464755,PDE5,18859247,CHEMBL1827,IC50,>,200000.0,nM,,CHEMBL4308412,CHEMBL4304825,12.206072645530174,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4465332,ETA,19405739,CHEMBL252,IC50,=,33.0,nM,7.48,CHEMBL4426323,CHEMBL4425117,3.4965075614664802,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4465332,ETB,19405776,CHEMBL1785,IC50,=,29.0,nM,7.54,CHEMBL4426324,CHEMBL4425117,3.367295829986474,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL446663,PDE5,1520084,CHEMBL1827,IC50,=,19.0,nM,7.72,CHEMBL831692,CHEMBL1144389,2.9444389791664403,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4467125,PDE5,19231658,CHEMBL1827,IC50,=,0.92,nM,9.04,CHEMBL4397429,CHEMBL4396872,-0.08338160893905101,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4467267,TGFBR1,19411409,CHEMBL4439,IC50,=,12.59,nM,7.9,CHEMBL4427614,CHEMBL4425174,2.532902848056256,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL44673,PDE5,279208,CHEMBL1827,IC50,>,200000.0,nM,,CHEMBL762506,CHEMBL1127531,12.206072645530174,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4467748,ETA,19405722,CHEMBL252,IC50,=,0.1,nM,10.0,CHEMBL4426323,CHEMBL4425117,-2.3025850929940455,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4467748,ETB,19405759,CHEMBL1785,IC50,=,82.0,nM,7.09,CHEMBL4426324,CHEMBL4425117,4.406719247264253,EDNRB,Endothelin-B receptor,Endothelin receptor type B
CHEMBL4468389,TGFBR1,19271598,CHEMBL4439,IC50,=,66.0,nM,7.18,CHEMBL4406752,CHEMBL4402613,4.189654742026425,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4468495,TGFBR1,19411407,CHEMBL4439,IC50,=,398.11,nM,6.4,CHEMBL4427614,CHEMBL4425174,5.986728349007541,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4468620,PDE5,19231651,CHEMBL1827,IC50,=,1.01,nM,9.0,CHEMBL4397429,CHEMBL4396872,0.009950330853168092,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4470706,TGFBR1,19411405,CHEMBL4439,IC50,=,3.981,nM,8.4,CHEMBL4427614,CHEMBL4425174,1.3815330440181801,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4470980,TGFBR1,19411408,CHEMBL4439,IC50,=,12.59,nM,7.9,CHEMBL4427614,CHEMBL4425174,2.532902848056256,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4471215,TGFBR1,19070750,CHEMBL4439,IC50,=,87.0,nM,7.06,CHEMBL4361670,CHEMBL4359846,4.465908118654584,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
CHEMBL4471352,PDE5,19263216,CHEMBL1827,IC50,=,3390.0,nM,5.47,CHEMBL4404712,CHEMBL4402573,8.128585200374497,PDE5A,Phosphodiesterase 5,"cGMP-specific 3',5'-cyclic phosphodiesterase"
CHEMBL4471434,ETA,19405660,CHEMBL252,IC50,=,1300.0,nM,5.89,CHEMBL4426309,CHEMBL4425117,7.170119543449628,EDNRA,Endothelin-A receptor,Endothelin-1 receptor
CHEMBL4474331,TGFBR1,19070751,CHEMBL4439,IC50,=,165.0,nM,6.78,CHEMBL4361670,CHEMBL4359846,5.10594547390058,TGFBR1,TGF-beta receptor type 1,TGF-beta receptor type-1
