phase,model,evaluation,fold,train_rows,valid_rows,train_spearman,train_rmse,valid_spearman,valid_rmse,spearman_gap,rmse_gap
phase2b,XGBoost,holdout,1,46368,11592,0.9997695838219922,0.053348540241773545,0.9997846072238165,0.05406704143367986,-1.5023401824243443e-05,0.0007185011919063136
phase2b,XGBoost,drug_groupcv,1,38640,19320,0.999942202107376,0.030254812005487092,0.8022696450437912,1.9155380146445917,0.19767255706358489,1.8852832026391046
phase2b,XGBoost,drug_groupcv,2,38640,19320,0.9998959627777348,0.029277277264507146,0.8959753383316263,1.8487542163981052,0.1039206244461085,1.819476939133598
phase2b,XGBoost,drug_groupcv,3,38640,19320,0.9999075219345546,0.027927678754776305,0.8435042712697092,2.1144827907455626,0.1564032506648454,2.086555111990786
phase2b,XGBoost,scaffoldcv,1,38640,19320,0.999768802282371,0.039490714088239356,0.7992845913325606,2.0493789772063655,0.2004842109498104,2.009888263118126
phase2b,XGBoost,scaffoldcv,2,38640,19320,0.9998034850092131,0.023337097035154058,0.7807420840131132,2.254308921021104,0.21906140099609994,2.23097182398595
phase2b,XGBoost,scaffoldcv,3,38640,19320,0.9999383484612033,0.022924131371446936,0.8711875943163884,2.2436855762957606,0.12875075414481496,2.220761444924314
phase2b,CatBoost,holdout,1,46368,11592,0.998966623801678,0.14910251218353435,0.9990277563866564,0.1503175842144906,-6.113258497841834e-05,0.001215072030956249
phase2b,CatBoost,drug_groupcv,1,38640,19320,0.9995799963510617,0.061176765243069996,0.7876526473596446,2.0084776423857753,0.21192734899141707,1.9473008771427054
phase2b,CatBoost,drug_groupcv,2,38640,19320,0.9995144927696625,0.07185454218895299,0.8505782676299827,2.1517044398417133,0.14893622513967986,2.0798498976527604
phase2b,CatBoost,drug_groupcv,3,38640,19320,0.9995260475165519,0.07037769295662757,0.8331431747153982,2.3098078422501054,0.16638287280115371,2.2394301492934776
phase2b,CatBoost,scaffoldcv,1,38640,19320,0.9996686157811557,0.08360182333515481,0.8346233313660141,2.170132765331994,0.16504528441514166,2.086530941996839
phase2b,CatBoost,scaffoldcv,2,38640,19320,0.9994335727474454,0.067097951636557,0.787712444722087,2.1800175643381863,0.21172112802535836,2.112919612701629
phase2b,CatBoost,scaffoldcv,3,38640,19320,0.9996339418892362,0.07198494910386391,0.8684121294141415,2.3780004579268343,0.13122181247509468,2.3060155088229704
