model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.32222222222222224,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.32558139534883723,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.32558139534883723,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.2717391304347826,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.2717391304347826,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.2717391304347826,0,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.4838709677419355,79,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.29591836734693877,33,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,half_life_obach,Excretion,Half-Life,regression,no_match,0.25274725274725274,11,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.25274725274725274,1,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.24074074074074073,1,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.21153846153846154,1,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.25263157894736843,2,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.4838709677419355,3,no_data
ExtraTrees,CHEMBL4297865,ABIVERTINIB,4,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.2717391304347826,-3,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.35365853658536583,-4,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.2602739726027397,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.32,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,exact,1.0,99,measured
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,vdss_lombardo,Distribution,Volume of Distribution,regression,exact,1.0,1,measured
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.3582089552238806,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.3582089552238806,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.3582089552238806,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.2222222222222222,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.2222222222222222,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,exact,1.0,150,measured
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,clearance_microsome_az,Excretion,Microsome Clearance,regression,exact,1.0,5,measured
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,half_life_obach,Excretion,Half-Life,regression,no_match,0.2222222222222222,12,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.25396825396825395,0,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.21739130434782608,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.24731182795698925,1,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.30985915492957744,2,no_data
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,exact,1.0,3,measured
ExtraTrees,CHEMBL193240,ROFLUMILAST,5,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.25396825396825395,-2,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.23469387755102042,-4,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.2524271844660194,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.2441860465116279,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.23655913978494625,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.2839506172839506,99,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.25,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.2839506172839506,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.3,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.3,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.2441860465116279,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.2441860465116279,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.2441860465116279,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.3076923076923077,14,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.3076923076923077,6,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,half_life_obach,Excretion,Half-Life,regression,no_match,0.25,2,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2916666666666667,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.22077922077922077,0,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.24285714285714285,3,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.30864197530864196,2,no_data
ExtraTrees,CHEMBL4789639,BMS-986202,6,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.3333333333333333,-2,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.2087912087912088,-4,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.18181818181818182,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.18518518518518517,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.18518518518518517,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.2222222222222222,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.6551724137931034,87,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.18181818181818182,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.24615384615384617,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.24615384615384617,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.22580645161290322,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.18518518518518517,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.18518518518518517,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.18518518518518517,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.3698630136986301,6,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.4426229508196721,15,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,half_life_obach,Excretion,Half-Life,regression,no_match,0.18181818181818182,3,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2037037037037037,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.21951219512195122,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.16901408450704225,0,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.21052631578947367,1,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.6551724137931034,2,no_data
ExtraTrees,CHEMBL1231124,AZD-1480,7,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.24,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.21176470588235294,-4,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.21176470588235294,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.24761904761904763,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.26744186046511625,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.22727272727272727,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.29411764705882354,98,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.2222222222222222,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.2926829268292683,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.2926829268292683,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.2891566265060241,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.26744186046511625,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.26744186046511625,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.26744186046511625,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.29411764705882354,150,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.29411764705882354,16,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,half_life_obach,Excretion,Half-Life,regression,no_match,0.26744186046511625,2,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2261904761904762,1,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.21428571428571427,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.24675324675324675,0,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.25,2,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.2978723404255319,2,no_data
ExtraTrees,CHEMBL4435170,DEUCRAVACITINIB,8,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.3055555555555556,-2,no_data
ExtraTrees,CHEMBL221959,TOFACITINIB,9,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.21428571428571427,-5,no_data
ExtraTrees,CHEMBL221959,TOFACITINIB,9,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.19753086419753085,1,no_data
