cluster,drug_rank,drug_name,canonical_drug_id,targets,pathway,admet_filter,pdac_4tier,fit_score,rationale
1,12,BI-2536,1086,PLK1;PLK2;PLK3,Cell cycle,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,14,BMS-345541,1249,IKK-1;IKK-2,Other,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,18,AZD5438,1401,CDK2,Cell cycle,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,20,AZD8055,1059,MTOR,PI3K/MTOR signaling,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,23,Cytarabine,1006,ANTIMETABOLITE;POLB,Other,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,24,BMS-536924,1091,IGF1R;IR,IGF1R signaling,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,28,5-azacytidine,2156,nan,Other,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,30,Pictilisib,1058,PIK3CG,PI3K/MTOR signaling,KEEP,Tier 3,0.4,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%)
1,1,Dactinomycin,1811,TOP1;TOP2A,Other,CAUTION,Tier 3,0.3,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%) | ADMET caution
1,6,Teniposide,1809,TOP2A;TOP2B,DNA replication,CAUTION,Tier 4,0.3,Cluster drivers: KRAS(80%); TP53(80%); SMAD4(30%) | ADMET caution
