rank,canonical_drug_id,drug_name,target_genes,target_match_genes,target_gene_match_rate,target_expression_pct,target_expressed,survival_p_value,survival_direction,known_paad_control,clinical_trial_mention_count,ensemble_score,mean_pred_ln_ic50,prism_compound_ids,prism_pancreatic_cell_lines,prism_observations,prism_mean_log2fc,prism_sensitive_fraction_lt_minus1,prism_has_evidence,opentargets_target_ids,opentargets_max_score,opentargets_evidence_count
36,1079,Dasatinib,ABL;ABL1;ABL2;BCR;BTK;CSK;EPHA2;EPHA5;EPHB4;EPHRINS;FGR;FRK;FYN;HSPA8;KIT;LCK;LYN;MAP3K20;MAPK14;NR4A3;PDGFR;PDGFRB;PPAT;SRC;STAT5B;YES1,ABL1;ABL2;BCR;BTK;CSK;EPHA2;EPHA5;EPHB4;FGR;FRK;FYN;HSPA8;KIT;LCK;LYN;MAP3K20;MAPK14;NR4A3;PDGFRB;PPAT;SRC;STAT5B;YES1,0.8846153846153846,0.7923497267759563,True,0.7515641811430586,high_expression_shorter_survival,False,268,-2.170586,2.170586,BRD:BRD-K49328571-001-15-0,44,35,-1.5882221396005716,0.7142857142857143,True,ENSG00000000938;ENSG00000010671;ENSG00000010810;ENSG00000091436;ENSG00000097007;ENSG00000103653;ENSG00000109971;ENSG00000111816;ENSG00000112062;ENSG00000113721;ENSG00000119508;ENSG00000128059;ENSG00000142627;ENSG00000143322;ENSG00000145242;ENSG00000157404;ENSG00000173757;ENSG00000176105;ENSG00000182866;ENSG00000186716;ENSG00000196411;ENSG00000197122;ENSG00000254087,0.46649285636689336,778
37,1908,Ulixertinib,EPHB2;MAPK1;MAPK3,EPHB2;MAPK1;MAPK3,1.0,0.9562841530054644,True,0.37086237178707837,high_expression_shorter_survival,False,49,-2.2082365,2.2082365,,44,0,,,False,ENSG00000100030;ENSG00000102882;ENSG00000133216,0.39316498628890745,689
38,1008,Methotrexate,ANTIMETABOLITE;ATIC;DHFR;SLC19A1;SLC46A1;TYMS,ATIC;DHFR;SLC19A1;SLC46A1;TYMS,0.8333333333333334,0.0,False,0.1399560167702489,high_expression_shorter_survival,False,78,-2.2451077,2.2451077,BRD:BRD-A55424491-001-19-9;BRD:BRD-K59456551-001-22-6,44,69,-1.1093684184158137,0.5652173913043478,True,ENSG00000076351;ENSG00000138363;ENSG00000173638;ENSG00000176890;ENSG00000228716,0.474813870047154,461
39,1088,Irinotecan,TOP1;TOP1MT,TOP1;TOP1MT,1.0,0.9453551912568307,True,0.4738871605229801,high_expression_longer_survival,True,3700,-2.2661557,2.2661557,BRD:BRD-K08547377-394-03-5,44,33,-1.5623161425129917,0.6666666666666666,True,ENSG00000184428;ENSG00000198900,0.46202003448352263,243
40,1022,AZD7762,CHEK1;CHEK2,CHEK1;CHEK2,1.0,0.00546448087431694,False,0.08972396237075314,high_expression_shorter_survival,False,0,-2.3188734,2.3188734,BRD:BRD-K86525559-001-04-5;BRD:BRD-K86525559-001-07-8,44,66,-2.7105943104887134,0.8636363636363636,True,ENSG00000149554;ENSG00000183765,0.4707523399046389,75
41,1149,TW 37,BCL-XL;BCL2;MCL1,BCL2;MCL1,0.6666666666666666,0.9398907103825137,True,0.6915317785330801,high_expression_shorter_survival,False,0,-2.3244486,2.3244486,BRD:BRD-K28360340-001-08-3,44,33,-0.8660836931698153,0.5151515151515151,True,ENSG00000143384;ENSG00000171791,0.28519673613144686,223
42,1014,Refametinib,MAP2K1;MAP2K2,MAP2K1;MAP2K2,1.0,0.9890710382513661,True,0.5602281425014669,high_expression_shorter_survival,False,0,-2.4767847,2.4767847,BRD:BRD-K85751432-001-03-3,44,35,-0.47617447332438,0.2571428571428571,True,ENSG00000126934;ENSG00000169032,0.3066780123387919,100
43,1873,Buparlisib,PI3KALPHA;PI3KBETA;PI3KDELTA;PI3KGAMMA;PIK3CA;PIK3CB;PIK3CD;PIK3CG,PIK3CA;PIK3CB;PIK3CD;PIK3CG,0.5,0.04918032786885246,False,0.09573306263489947,high_expression_shorter_survival,False,2,-2.7056823,2.7056823,BRD:BRD-K42191735-001-05-3,44,37,-1.8941483151456755,0.8918918918918919,True,ENSG00000051382;ENSG00000105851;ENSG00000121879;ENSG00000171608,0.3204814932466111,1756
44,1941,Sepantronium bromide,BIRC5,BIRC5,1.0,0.2896174863387978,False,0.22897839167949174,high_expression_shorter_survival,False,0,-2.7794902,2.7794902,,44,0,,,False,ENSG00000089685,0.03776500230058207,114
45,1930,Telomerase Inhibitor IX,TELOMERASE,,0.0,,False,,no_clinical_data,False,0,-2.838633,2.838633,,44,0,,,False,,,0
46,1813,Fludarabine,ADA;ANTIMETABOLITE;DCK;POLA1;RRM1,ADA;DCK;POLA1;RRM1,0.8,0.16393442622950818,False,0.0040644350836749,high_expression_shorter_survival,False,358,-2.8707302,2.8707302,BRD:BRD-K66788707-001-14-3;BRD:BRD-K71106091-001-06-1,44,71,-0.19803136696631252,0.014084507042253521,True,ENSG00000101868;ENSG00000156136;ENSG00000167325;ENSG00000196839,0.5848220430529889,1709
47,1047,Nutlin-3a (-),MDM2,MDM2,1.0,0.08743169398907104,False,0.12237084297212512,high_expression_shorter_survival,False,0,-2.8785315,2.8785315,,44,0,,,False,ENSG00000135679,0.2816601179569496,58
48,1170,CCT-018159,HSP90;HSP90AA1;HSP90AB1,HSP90AA1;HSP90AB1,0.6666666666666666,1.0,True,0.1500449991868736,high_expression_longer_survival,False,0,-3.0484705,3.0484705,BRD:BRD-K65503129-001-06-3,44,36,0.29688600617218747,0.0,True,ENSG00000080824;ENSG00000096384,0.1961186454091823,99
49,1853,OF-1,BRPF1B;BRPF2,,0.0,,False,,no_clinical_data,False,0,-3.0522795,3.0522795,BRD:BRD-K92658264-001-02-9,44,42,-0.27149023080831214,0.07142857142857142,True,,,0
50,1084,Rapamycin,MTOR,MTOR,1.0,0.31693989071038253,True,0.7751666628926428,high_expression_shorter_survival,False,139,-3.057459,3.057459,,44,0,,,False,ENSG00000198793,0.31877858457698127,441
