cancer,rank,canonical_drug_id,drug_name,canonical_smiles,admet_engine,admet_engine_status,rdkit_parse_status,hERG_risk,Ames_risk,DILI_risk,hepatotoxicity_risk,solubility,permeability,oral_bioavailability,clearance_or_metabolism_flag,admet_risk_flag_count,admet_tier,oncology_relaxed_interpretation,ev_composite_0_10,graph_luad_caveat,mandatory_caveat
luad,3,1814,Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,rdkit_descriptors+admet_ai,ok,ok,low,high,high,moderate,-1.511808156967163,0.7196328043937683,0.6951022148132324,typical_cyp_max=0.198,3,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=D; merge ADMET with ev_composite_0_10=5.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",5.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,4,2499,N-acetyl cysteine,CC(=O)N[C@@H](CS)C(O)=O,rdkit_descriptors+admet_ai,ok,ok,low,moderate,low,low,-0.5795677900314331,0.7031264901161194,0.7449473142623901,typical_cyp_max=0.112,1,B,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=B; merge ADMET with ev_composite_0_10=1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,5,1853,OF-1,CC1=C(C=CC(=C1)Br)S(=O)(=O)NC2=CC3=C(C=C2OC)N(C(=O)N3C)C,rdkit_descriptors+admet_ai,ok,ok,moderate,low,high,low,-4.669930934906006,0.999984622001648,0.8877648115158081,elevated_cyp_likelihood_max=0.919,2,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,6,1816,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,rdkit_descriptors+admet_ai,ok,ok,moderate,low,low,low,-5.456768989562988,0.9999980926513672,0.46789950132369995,elevated_cyp_likelihood_max=0.824,1,B,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,7,1200,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,rdkit_descriptors+admet_ai,ok,ok,moderate,low,low,low,-5.456768989562988,0.9999980926513672,0.46789950132369995,elevated_cyp_likelihood_max=0.824,1,B,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,8,1199,Tamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,rdkit_descriptors+admet_ai,ok,ok,high,low,moderate,moderate,-6.594684600830078,0.9992734789848328,0.7604617476463318,elevated_cyp_likelihood_max=0.796,3,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,0.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,9,1510,Linsitinib,C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,rdkit_descriptors+admet_ai,ok,ok,high,high,high,high,-5.0962724685668945,0.9981271624565125,0.8493087887763977,elevated_cyp_likelihood_max=0.638,4,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,0.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,10,2113,VTP-B,UNK,rdkit_descriptors+admet_ai,ok,fail,missing,missing,missing,missing,,,,missing,0,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,0.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,11,1563,EPZ5676,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,rdkit_descriptors+admet_ai,ok,ok,high,low,high,high,-3.841480255126953,0.8647529482841492,0.7740103006362915,elevated_cyp_likelihood_max=0.644,3,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=D; merge ADMET with ev_composite_0_10=-1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,12,1620,PFI3,C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O,rdkit_descriptors+admet_ai,ok,ok,moderate,low,high,low,-4.895167350769043,0.9996441602706908,0.7556553483009338,elevated_cyp_likelihood_max=0.811,2,C,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=C; merge ADMET with ev_composite_0_10=-1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,13,1043,JNK Inhibitor VIII,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,rdkit_descriptors+admet_ai,ok,ok,moderate,low,high,low,-5.681005954742432,0.9999434351921082,0.8579086065292358,elevated_cyp_likelihood_max=0.865,2,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,14,1067,CCT007093,C1CC(=CC2=CC=CS2)C(=O)C1=CC3=CC=CS3,rdkit_descriptors+admet_ai,ok,ok,low,high,high,low,-5.366419792175293,0.9999862909317017,0.5191465020179749,elevated_cyp_likelihood_max=0.993,2,D,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
luad,15,2057,Remodelin,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,rdkit_descriptors+admet_ai,ok,ok,moderate,high,high,low,-4.6204633712768555,0.9999368786811828,0.7887341380119324,elevated_cyp_likelihood_max=0.964,3,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. LUAD graph partial caveat preserved. admet_tier=D; merge ADMET with ev_composite_0_10=-1.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",-1.0,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.
stad,1,1815,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,rdkit_descriptors+admet_ai,ok,ok,low,high,high,low,-1.433595061302185,0.9963404536247252,0.952123999595642,typical_cyp_max=0.322,2,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=8.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",8.0,False,
stad,2,1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,rdkit_descriptors+admet_ai,ok,ok,high,low,high,low,-4.8763427734375,0.9999983906745912,0.7738667130470276,elevated_cyp_likelihood_max=0.999,2,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=6.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",6.0,False,
stad,3,1009,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,rdkit_descriptors+admet_ai,ok,ok,low,moderate,low,low,-5.004724025726318,0.9447776079177856,0.526069164276123,elevated_cyp_likelihood_max=0.689,1,B,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=B; merge ADMET with ev_composite_0_10=6.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",6.0,False,
stad,4,1042,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,rdkit_descriptors+admet_ai,ok,ok,high,moderate,high,high,-5.784689426422119,0.9985828399658204,0.8613988757133484,elevated_cyp_likelihood_max=0.835,4,D,"Oncology-relaxed: hERG/Ames/DILI/hep(ClinTox proxy) = advisory flags, not hard exclusion. admet_tier=D; merge ADMET with ev_composite_0_10=5.0 for final rank. | ADMET: reused from preliminary Top10 run when (cancer,drug) matched; EV score updated from Top15-EV run.",5.0,False,
stad,5,1033,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,rdkit_descriptors+admet_ai,ok,ok,low,low,high,low,-4.835108757019043,0.9993812441825867,0.9071444272994995,elevated_cyp_likelihood_max=0.653,1,C,Oncology-relaxed flags; not hard exclusion. Restored-60 new prediction.,1.0,False,
