evidence_id,disease_id,cluster_id,drug_name,rank,tier,target,target_pathway,evidence_text,source_file,match_status,canonical_drug_id
imev_1d831b8b094eefdc,HNSC,imcluster_93baab94defd2986,Temsirolimus,4,,MTOR MTOR PI3K/MTOR signaling MTOR,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_ec25ee06790a07e7
imev_6a841b84b5e426a4,HNSC,imcluster_93baab94defd2986,Topotecan,5,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_c40413853cfa1088
imev_dc49ccadb43fa9e4,HNSC,imcluster_93baab94defd2986,Tanespimycin,10,,HSP90 HSP90 Protein stability and degradation HSP90AA1,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_e33512555752f796
imev_626256235633a0cf,HNSC,imcluster_93baab94defd2986,Epirubicin,27,,ANTHRACYCLINE Anthracycline DNA replication ANTHRACYCLINE,,TP53 mutated (72%); CDKN2A mutated (22%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_34152dace9ff98c9
imev_8a9173f4d44377a8,HNSC,imcluster_93baab94defd2986,TW 37,14,,"BCL-XL|BCL2|MCL1 BCL2, BCL-XL, MCL1 Apoptosis regulation BCL2|BCL2L1|MCL1",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_9e64de7415bb3254
imev_a7e77faa108c1b25,HNSC,imcluster_93baab94defd2986,Bortezomib,24,,PROTEASOME Proteasome Protein stability and degradation PROTEASOME,,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_5b0d446d35d3790d
imev_a86daffaa6b19ee8,HNSC,imcluster_93baab94defd2986,Dasatinib,25,,"ABL|EPHRINS|KIT|PDGFR|SRC ABL, SRC, Ephrins, PDGFR, KIT Other, kinases ABL|EPHRINS|KIT|PDGFR|SRC",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_7d828b8ad8476d1f
imev_505714cf62311855,HNSC,imcluster_93baab94defd2986,MK-1775,28,,"PLK1|WEE1 WEE1, PLK1 Cell cycle PLK1|WEE1",,TP53 mutated (72%); CDKN2A mutated (22%),HNSC_drug_linkage.csv,matched,cdrug_a0f92608891f8025
imev_a438114fc7e20c53,HNSC,imcluster_6893ea6ac1e4cef6,Buparlisib,6,,"PI3KALPHA|PI3KBETA|PI3KDELTA|PI3KGAMMA PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma PI3K/MTOR signaling PIK3CA|PIK3CB|PIK3CD|PIK3CG",,TP53 mutated (50%); FAT1 mutated (25%) | PIK3CA-linked target evidence,HNSC_drug_linkage.csv,matched,cdrug_e6882f20c467ce5f
imev_251fa0970a78b35c,HNSC,imcluster_6893ea6ac1e4cef6,Irinotecan,8,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_da0375af747f9b98
imev_cfdbfee0f0f0d3c3,HNSC,imcluster_6893ea6ac1e4cef6,SN-38,22,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_d82e10aee750f670
imev_086b7f82cfc23929,HNSC,imcluster_6893ea6ac1e4cef6,Afatinib,1,,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_b211aef3f5543386
imev_1b31f8e746afc17e,HNSC,imcluster_6893ea6ac1e4cef6,Camptothecin,2,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_a286fdd293b9be53
imev_579b60234e36aad2,HNSC,imcluster_6893ea6ac1e4cef6,Romidepsin,3,,"HDAC1|HDAC2|HDAC3|HDAC8 HDAC1, HDAC2, HDAC3, HDAC8 Chromatin histone acetylation HDAC1|HDAC2|HDAC3|HDAC8",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_2e9ab8a291ff1bc8
imev_5c36301b0590b8f0,HNSC,imcluster_6893ea6ac1e4cef6,BI-2536,7,,"PLK1|PLK2|PLK3 PLK1, PLK2, PLK3 Cell cycle PLK1|PLK2|PLK3",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_5e43b24a58c005d7
imev_1907562418e82ae0,HNSC,imcluster_6893ea6ac1e4cef6,Trametinib,9,,"MEK1|MEK2 MEK1, MEK2 ERK MAPK signaling MAP2K1|MAP2K2",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_18e3cf278c38ce2a
imev_2d10136ad1a01826,HNSC,imcluster_6893ea6ac1e4cef6,Talazoparib,12,,"PARP1|PARP2 PARP1, PARP2 Genome integrity PARP1|PARP2",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_ec05f6bf5cc73f6e
imev_6655160d077f1d68,HNSC,imcluster_6893ea6ac1e4cef6,Foretinib,13,,"EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3 MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR RTK signaling EGFR|FGFR1|FLT4|KDR|MET|PDGFR|RON|TIE2|VEGFR3",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_ef43b4351b3144ee
imev_147b907572a959b3,HNSC,imcluster_6893ea6ac1e4cef6,Ribociclib,15,,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_e642845b7af9f923
imev_8f36c7bbcf5a9328,HNSC,imcluster_6893ea6ac1e4cef6,MK-2206,16,,"AKT1|AKT2 AKT1, AKT2 PI3K/MTOR signaling AKT1|AKT2",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_d464ce63544cc204
imev_c60a98851fc5e677,HNSC,imcluster_6893ea6ac1e4cef6,Elesclomol,17,,HSP90 HSP90 Protein stability and degradation HSP90AA1,,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_52692989966fe3dc
imev_51b667a77df0b450,HNSC,imcluster_6893ea6ac1e4cef6,Entinostat,18,,"HDAC1|HDAC3 HDAC1, HDAC3 Chromatin histone acetylation HDAC1|HDAC3",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_58450c4db13a14e1
imev_361f8ae6acd1504c,HNSC,imcluster_6893ea6ac1e4cef6,Lapatinib,19,,"EGFR|ERBB2 EGFR, ERBB2 EGFR signaling EGFR|ERBB2",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_d6afb6f031e7fe30
imev_41bc10aad582beaa,HNSC,imcluster_6893ea6ac1e4cef6,Alisertib,20,,AURKA AURKA Mitosis AURKA,,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_1ac4a2d6c19d68f5
imev_3bf8a622420d680f,HNSC,imcluster_6893ea6ac1e4cef6,Palbociclib,21,,"CDK4|CDK6 CDK4, CDK6 Cell cycle CDK4|CDK6",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_a54fa6b388237c1c
imev_51d5f9f4f321d2ad,HNSC,imcluster_6893ea6ac1e4cef6,MG-132,23,,"CAPN1|PROTEASOME Proteasome, CAPN1 Protein stability and degradation CAPN1|PROTEASOME",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_371d0df931c65f11
imev_0bbbf91b525a9986,HNSC,imcluster_6893ea6ac1e4cef6,Uprosertib,26,,"AKT1|AKT2|AKT3 AKT1, AKT2, AKT3 PI3K/MTOR signaling AKT1|AKT2|AKT3",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_6a5a5a0a0c643307
imev_8be87a87f170cfe0,HNSC,imcluster_6893ea6ac1e4cef6,Gefitinib,30,,EGFR EGFR EGFR signaling EGFR,,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_6fae7753ea49d2b0
imev_b7f989556c5d834e,HNSC,imcluster_6893ea6ac1e4cef6,Paclitaxel,11,,MICROTUBULE STABILISER Microtubule stabiliser Mitosis MICROTUBULESTABILISER,,TP53 mutated (50%); FAT1 mutated (25%) | current HNSC therapy benchmark,HNSC_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_ae3fdad2705ddde7,HNSC,imcluster_6893ea6ac1e4cef6,Methotrexate,29,,ANTIMETABOLITE Antimetabolite DNA replication ANTIMETABOLITE,,TP53 mutated (50%); FAT1 mutated (25%) | current HNSC therapy benchmark,HNSC_drug_linkage.csv,matched,cdrug_eee02d6dc017f95a
imev_d0f7030d6984cf6e,HNSC,imcluster_6893ea6ac1e4cef6,Temsirolimus,4,,MTOR MTOR PI3K/MTOR signaling MTOR,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_ec25ee06790a07e7
imev_606f630d8218e976,HNSC,imcluster_6893ea6ac1e4cef6,Topotecan,5,,TOP1 TOP1 DNA replication TOP1,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_c40413853cfa1088
imev_d623c75564ab88e6,HNSC,imcluster_6893ea6ac1e4cef6,Tanespimycin,10,,HSP90 HSP90 Protein stability and degradation HSP90AA1,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_e33512555752f796
imev_f2bc36ea51dd96ef,HNSC,imcluster_6893ea6ac1e4cef6,Epirubicin,27,,ANTHRACYCLINE Anthracycline DNA replication ANTHRACYCLINE,,TP53 mutated (50%); FAT1 mutated (25%) | HNSC research or clinical evidence,HNSC_drug_linkage.csv,matched,cdrug_34152dace9ff98c9
imev_69f31446fe7bec1f,HNSC,imcluster_6893ea6ac1e4cef6,TW 37,14,,"BCL-XL|BCL2|MCL1 BCL2, BCL-XL, MCL1 Apoptosis regulation BCL2|BCL2L1|MCL1",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_9e64de7415bb3254
imev_985c50b34ba609d8,HNSC,imcluster_6893ea6ac1e4cef6,Bortezomib,24,,PROTEASOME Proteasome Protein stability and degradation PROTEASOME,,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_5b0d446d35d3790d
imev_28cc7a0962ef60c3,HNSC,imcluster_6893ea6ac1e4cef6,Dasatinib,25,,"ABL|EPHRINS|KIT|PDGFR|SRC ABL, SRC, Ephrins, PDGFR, KIT Other, kinases ABL|EPHRINS|KIT|PDGFR|SRC",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_7d828b8ad8476d1f
imev_cd350cd617395a5d,HNSC,imcluster_6893ea6ac1e4cef6,MK-1775,28,,"PLK1|WEE1 WEE1, PLK1 Cell cycle PLK1|WEE1",,TP53 mutated (50%); FAT1 mutated (25%),HNSC_drug_linkage.csv,matched,cdrug_a0f92608891f8025
imev_27405ecc1df989d6,IPF,imcluster_e42c1c61aafe2268,Ruxolitinib,1,Tier1_2,,Inflammatory-fibrotic transition,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_6c95cca9e9b8fc23
imev_3523cce7d37f07ed,IPF,imcluster_e42c1c61aafe2268,Tofacitinib,2,Tier1_2,,Inflammatory-fibrotic transition,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_5a6ce189f111e47c
imev_72f485016846bb67,IPF,imcluster_c90733dce2ac04ff,Nintedanib,1,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_ea451b022f6ed79c
imev_db174baa92e8925b,IPF,imcluster_c90733dce2ac04ff,AT-9283,2,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_fd8b3b58802cb6f2
imev_f97ebb1277a7bfc2,IPF,imcluster_c90733dce2ac04ff,Pazopanib,3,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_14bc3bba5c9315c4
imev_7d35d67f07341179,IPF,imcluster_c90733dce2ac04ff,Sorafenib,4,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_ceaf5c410c5875aa
imev_7f6e450aeb220abf,IPF,imcluster_c90733dce2ac04ff,Ponatinib,5,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_a49713e61b9488b9
imev_0fee0ec37717699e,IPF,imcluster_c90733dce2ac04ff,Sunitinib,6,Tier1_2,,ECM remodeling and angiogenesis,MoA/pathway hypothesis only; GEO drug model patients and OSIC CT patients are not the same individuals.,IPF_drug_linkage.md,matched,cdrug_7d4a9d4ce4a3d480
imev_4275259c9c0cc6a1,LUNG,imcluster_80109e833c9a6d00,Dactinomycin,,Tier3,RNA polymerase,Other,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_7e79edcdee91cafc
imev_244b08af8afeabe8,LUNG,imcluster_6d2f7c0f3eab8f12,Dactinomycin,,Tier3,RNA polymerase,Other,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_7e79edcdee91cafc
imev_1f69b40f9892cb3d,LUNG,imcluster_5baab8a67cdd0fdf,Dactinomycin,,Tier3,RNA polymerase,Other,Dactinomycin is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_7e79edcdee91cafc
imev_b4f1c7db93b11e94,LUNG,imcluster_80109e833c9a6d00,Docetaxel,,Tier1,Microtubule stabiliser,Mitosis,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_61a5e8e07ce664d1
imev_826b7c15e46a2c62,LUNG,imcluster_6d2f7c0f3eab8f12,Docetaxel,,Tier1,Microtubule stabiliser,Mitosis,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_61a5e8e07ce664d1
imev_7fbebff7797841f7,LUNG,imcluster_5baab8a67cdd0fdf,Docetaxel,,Tier1,Microtubule stabiliser,Mitosis,Docetaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_61a5e8e07ce664d1
imev_69a5c7c637835703,LUNG,imcluster_80109e833c9a6d00,Paclitaxel,,Tier1,Microtubule stabiliser,Mitosis,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_782ab1a34b957c78,LUNG,imcluster_6d2f7c0f3eab8f12,Paclitaxel,,Tier1,Microtubule stabiliser,Mitosis,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_9b851be65f7d1794,LUNG,imcluster_5baab8a67cdd0fdf,Paclitaxel,,Tier1,Microtubule stabiliser,Mitosis,Paclitaxel is a Tier1 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_ef7712d5a5a5ad86,LUNG,imcluster_80109e833c9a6d00,Teniposide,,Tier3,,DNA replication,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_edd483796693a02f
imev_9ca60d59ac1fa2f1,LUNG,imcluster_6d2f7c0f3eab8f12,Teniposide,,Tier3,,DNA replication,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_edd483796693a02f
imev_6562cf382bc883c0,LUNG,imcluster_5baab8a67cdd0fdf,Teniposide,,Tier3,,DNA replication,Teniposide is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_edd483796693a02f
imev_7404187618480944,LUNG,imcluster_80109e833c9a6d00,Bleomycin (50 uM),,Tier4,dsDNA break induction,DNA replication,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_c8c9b4017be1244b
imev_fdb9ebf1e6b92bb3,LUNG,imcluster_6d2f7c0f3eab8f12,Bleomycin (50 uM),,Tier4,dsDNA break induction,DNA replication,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_c8c9b4017be1244b
imev_90fcaabe35449a82,LUNG,imcluster_5baab8a67cdd0fdf,Bleomycin (50 uM),,Tier4,dsDNA break induction,DNA replication,Bleomycin (50 uM) is a Tier4 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_c8c9b4017be1244b
imev_1407445467a76855,LUNG,imcluster_80109e833c9a6d00,Methotrexate,,Tier3,Antimetabolite,DNA replication,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_eee02d6dc017f95a
imev_7006a44cf16fe0bb,LUNG,imcluster_6d2f7c0f3eab8f12,Methotrexate,,Tier3,Antimetabolite,DNA replication,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_eee02d6dc017f95a
imev_cfd18d05557bee96,LUNG,imcluster_5baab8a67cdd0fdf,Methotrexate,,Tier3,Antimetabolite,DNA replication,Methotrexate is a Tier3 candidate for PI/TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.,LUNG_drug_linkage.csv,matched,cdrug_eee02d6dc017f95a
imev_5e85d7c3083fe7bd,Liver,imcluster_6515ba94f529f557,Bleomycin (50 uM),,Tier3,DSDNA BREAK INDUCTION,DNA replication,"Bleomycin (50 uM) (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_c8c9b4017be1244b
imev_cd470871accd6f94,Liver,imcluster_6515ba94f529f557,Docetaxel,,Tier2,MICROTUBULE STABILISER,Mitosis,"Docetaxel (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_61a5e8e07ce664d1
imev_09c3ad489045368d,Liver,imcluster_6515ba94f529f557,Paclitaxel,,Tier2,MICROTUBULE STABILISER,Mitosis,"Paclitaxel (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_6b9bff8ee5511343,Liver,imcluster_6515ba94f529f557,Epirubicin,,Tier2,ANTHRACYCLINE,DNA replication,"Epirubicin (Tier2, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_34152dace9ff98c9
imev_e1c61e8dbabebf2a,Liver,imcluster_6515ba94f529f557,Topotecan,,Tier3,TOP1,DNA replication,"Topotecan (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_c40413853cfa1088
imev_558d263a2ac14487,Liver,imcluster_6515ba94f529f557,Vinblastine,,Tier3,MICROTUBULE DESTABILISER,Mitosis,"Vinblastine (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_f8909ca4d8abdc96
imev_e213e37e32194e7b,Liver,imcluster_6515ba94f529f557,Camptothecin,,Tier3,TOP1,DNA replication,"Camptothecin (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_a286fdd293b9be53
imev_e2dd082587c7b42f,Liver,imcluster_6515ba94f529f557,Irinotecan,,Tier2,TOP1,DNA replication,"Irinotecan (Tier2, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_da0375af747f9b98
imev_1c425300bc99ce80,Liver,imcluster_6515ba94f529f557,Tozasertib,,Tier3,AURKA|AURKB|AURKC|OTHERS,Mitosis,"Tozasertib (Tier3, ADMET CAUTION) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_32e12f4a864d093b
imev_9b6884f5eedf8443,Liver,imcluster_6515ba94f529f557,Vinorelbine,,Tier3,MICROTUBULE DESTABILISER,Mitosis,"Vinorelbine (Tier3, ADMET KEEP) may fit TP53-Proliferative-like WSI Cluster through TP53/cell-cycle/proliferative injury biology.",Liver_drug_linkage.csv,matched,cdrug_b927e4cdcac90f13
imev_ab5c023826473e69,PAH,imcluster_fb27ef85fb186089,VARDENAFIL,1,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_8057512843ccee22
imev_b9acf12a81e71ca1,PAH,imcluster_fb27ef85fb186089,SILDENAFIL,2,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_62478e2e0df12fb4
imev_3c7e22b79fa6b88e,PAH,imcluster_fb27ef85fb186089,AMBRISENTAN,3,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_dcbd986d79b579e6
imev_b6520294c094a48a,PAH,imcluster_fb27ef85fb186089,MACITENTAN,4,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_b033da73883a15bf
imev_75ca0111eb7b5902,PAH,imcluster_fb27ef85fb186089,TADALAFIL,5,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_34b98cc5fbbbb5da
imev_a92c1d4e13af5327,PAH,imcluster_fb27ef85fb186089,BOSENTAN,6,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,matched,cdrug_3ea906f99daca16c
imev_a7e07f486618b75e,PAH,imcluster_fb27ef85fb186089,unnamed lead (CHEMBL304460),7,,,Endothelin + NO/PDE5 pathway,Preserved lung function with rapid decline risk,PAH_drug_linkage.md,evidence_only,cdrug_b54eff7903acd6dd
imev_bc3c7faad33a03e9,PAH,imcluster_35d740581854a27b,EPOPROSTENOL,1,,,Prostacyclin + advanced anti-remodeling,Lower lung function with structural remodeling,PAH_drug_linkage.md,matched,cdrug_2ebf6143a4e9c068
imev_b8fb15458907e33b,PAH,imcluster_35d740581854a27b,ILOPROST,2,,,Prostacyclin + advanced anti-remodeling,Lower lung function with structural remodeling,PAH_drug_linkage.md,matched,cdrug_73f3443c4442bcc0
imev_f302e93a36e73d6f,PAH,imcluster_35d740581854a27b,SELEXIPAG,3,,,Prostacyclin + advanced anti-remodeling,Lower lung function with structural remodeling,PAH_drug_linkage.md,matched,cdrug_31e511f6bf320f2c
imev_1d9c42863cd193dc,PAH,imcluster_35d740581854a27b,ATRASENTAN,4,,,Prostacyclin + advanced anti-remodeling,Lower lung function with structural remodeling,PAH_drug_linkage.md,matched,cdrug_5e0c687278b12bfc
imev_4899343e1aad6bf7,PDAC,imcluster_ea1b0c9372d83f8b,Paclitaxel,21,Tier 1,BCL2;NR1I2;TUBB1,Mitosis,Cluster drivers: KRAS(61%); TP53(55%) | current PDAC therapy benchmark,PDAC_drug_linkage.csv,matched,cdrug_20b83add6b9c4f21
imev_f21cb4f906afc44b,PDAC,imcluster_ea1b0c9372d83f8b,Topotecan,4,Tier 2,TOP1;TOP1MT,DNA replication,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_c40413853cfa1088
imev_e16264ca597d7ad7,PDAC,imcluster_ea1b0c9372d83f8b,Vinblastine,5,Tier 2,JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,Mitosis,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_f8909ca4d8abdc96
imev_a6cc5493871617ed,PDAC,imcluster_ea1b0c9372d83f8b,Vinorelbine,13,Tier 2,BCL2;MAP4;MAPK1;TUBB,Mitosis,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_b927e4cdcac90f13
imev_e1fff999b86a6b14,PDAC,imcluster_ea1b0c9372d83f8b,Staurosporine,15,Tier 2,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,RTK signaling,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_66e7da8131e061dc
imev_012ab437b4b1cc75,PDAC,imcluster_ea1b0c9372d83f8b,Selumetinib,16,Tier 2,MAP2K1;MAP2K2,ERK MAPK signaling,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_a7bbf7d59d42b1d0
imev_b7d400856fd911a5,PDAC,imcluster_ea1b0c9372d83f8b,SN-38,17,Tier 2,TOP1,DNA replication,Cluster drivers: KRAS(61%); TP53(55%) | PDAC clinical/research evidence,PDAC_drug_linkage.csv,matched,cdrug_d82e10aee750f670
