evidence_id,canonical_drug_id,match_status,drug_name,rank,tier
imev_231c6a2c6002c976,cdrug_53c80a3c0d50123d,matched,PACRITINIB,23,Tier 2
imev_b48ff3331dc4c70c,cdrug_fd8b3b58802cb6f2,matched,AT-9283,24,Tier 3
imev_89be96770c066f09,cdrug_941e9bd7e38f28d8,matched,REPOTRECTINIB,25,Tier 3
imev_654a774f5032c69f,cdrug_fe58aa8064b2e87b,matched,BMS-911543,26,Tier 3
imev_7a71c604e1bc6ee5,cdrug_f118c0b3ad3f6604,matched,DECERNOTINIB,27,Tier 2
imev_2b88a78ea471b02c,cdrug_89d09223375c0b66,matched,CDP840,28,Tier 3
imev_162bc8186afdbb62,cdrug_bfd53d5593322ba1,matched,MOMELOTINIB,29,Tier 3
imev_66603ba994dcfa00,cdrug_5a6ce189f111e47c,matched,TOFACITINIB CITRATE,30,Tier 2
imev_ecb3d246aaa957c5,cdrug_6c95cca9e9b8fc23,matched,RUXOLITINIB,1,Tier 2
imev_87eddf40d2428cb6,cdrug_9373a673e47eb859,matched,PICLAMILAST,2,Tier 2
imev_d9022e430ba73272,cdrug_66e7da8131e061dc,matched,STAUROSPORINE,3,Tier 3
imev_acce18ca74eefdcc,cdrug_ada9a241625f20a0,matched,ABIVERTINIB,4,Tier 2
imev_2b8f9d471213f22f,cdrug_c3144dbb448019d0,matched,ROFLUMILAST,5,Tier 1
imev_898fd8de210e9bef,cdrug_1b002a0118c221e9,matched,BMS-986202,6,Tier 3
imev_0c616053a1539081,cdrug_f80a574bcccb0323,matched,AZD-1480,7,Tier 2
imev_43ad7c4dfee75762,cdrug_9d0dd68c5d51cf92,matched,DEUCRAVACITINIB,8,Tier 1
imev_5094a71f5b6a3aed,cdrug_5a6ce189f111e47c,matched,TOFACITINIB,9,Tier 2
imev_fa9fad114e37d736,cdrug_4a29d26f8861fbe6,matched,NS-018,10,Tier 2
imev_a51babb863e85281,cdrug_b5ca35ac2b9b34ae,matched,RITLECITINIB,11,Tier 2
imev_e315ec8789d7c52d,cdrug_68e82574589d0333,matched,UK-500001,12,Tier 3
imev_1cf506715b1b1f40,cdrug_0abcecf22edf1da7,matched,ATINVICITINIB,13,Tier 2
imev_a70c3b88ebfb3236,cdrug_7d39d8c9b73946a3,matched,CERDULATINIB,14,Tier 3
imev_6be768170c6c1bde,cdrug_f58fdfe1697da1c9,matched,LONDAMOCITINIB,15,Tier 2
imev_5f1450b2cea6eb1e,cdrug_e31f8ab133e9cdba,matched,IBERDOMIDE,16,Tier 3
imev_ae30d8ccf494b39f,cdrug_48c33381342f928d,matched,BARICITINIB,17,Tier 2
imev_e2e4fa99bcbb1619,cdrug_86683458b87a205d,matched,PEFICITINIB,18,Tier 3
imev_1909c8fbc621c519,cdrug_575c6385c524f680,matched,FEDRATINIB,19,Tier 2
imev_e834fc1ce339bc65,cdrug_5327ddd6a8dfd4ff,matched,UPADACITINIB,20,Tier 2
imev_e8347e12befe5468,cdrug_5d6b2e1a477d01ae,matched,LESTAURTINIB,21,Tier 3
imev_7a48676a37fce249,cdrug_93ce5173efc14556,evidence_only,JNJ-7706621,22,Tier 2
imev_b1583c8fb3f9a8b3,cdrug_53c80a3c0d50123d,matched,PACRITINIB,23,Tier 2
imev_3147767436c91ef8,cdrug_fd8b3b58802cb6f2,matched,AT-9283,24,Tier 3
imev_b17102f06f4b84bf,cdrug_941e9bd7e38f28d8,matched,REPOTRECTINIB,25,Tier 3
imev_6a1e17f3b53a08ce,cdrug_fe58aa8064b2e87b,matched,BMS-911543,26,Tier 3
imev_97deffb6acbd2d2e,cdrug_f118c0b3ad3f6604,matched,DECERNOTINIB,27,Tier 2
imev_d9ec8e8ce7d2c4e8,cdrug_89d09223375c0b66,matched,CDP840,28,Tier 3
imev_0fda70c1f852771f,cdrug_bfd53d5593322ba1,matched,MOMELOTINIB,29,Tier 3
imev_c1d903dc88036ce6,cdrug_5a6ce189f111e47c,matched,TOFACITINIB CITRATE,30,Tier 2
imev_beb4c0688f4eacfa,cdrug_6c95cca9e9b8fc23,matched,RUXOLITINIB,1,Tier 2
imev_9f423670a388d501,cdrug_9373a673e47eb859,matched,PICLAMILAST,2,Tier 2
imev_cf0f6f561f3d6124,cdrug_66e7da8131e061dc,matched,STAUROSPORINE,3,Tier 3
imev_f96bd0bf76a27530,cdrug_ada9a241625f20a0,matched,ABIVERTINIB,4,Tier 2
imev_ff5457ed01ac0204,cdrug_c3144dbb448019d0,matched,ROFLUMILAST,5,Tier 1
imev_04a8e65a7d7a13df,cdrug_1b002a0118c221e9,matched,BMS-986202,6,Tier 3
imev_194a391a3638700f,cdrug_f80a574bcccb0323,matched,AZD-1480,7,Tier 2
imev_112fc343e4e3a98f,cdrug_9d0dd68c5d51cf92,matched,DEUCRAVACITINIB,8,Tier 1
imev_42c9a3c09b42c51d,cdrug_5a6ce189f111e47c,matched,TOFACITINIB,9,Tier 2
imev_43832271998a34d2,cdrug_4a29d26f8861fbe6,matched,NS-018,10,Tier 2
imev_7e8dbc7c22ddbf58,cdrug_b5ca35ac2b9b34ae,matched,RITLECITINIB,11,Tier 2
imev_c6899fb9a5be023e,cdrug_68e82574589d0333,matched,UK-500001,12,Tier 3
imev_1e9a75320544c153,cdrug_0abcecf22edf1da7,matched,ATINVICITINIB,13,Tier 2
imev_f859a8433564e8b7,cdrug_7d39d8c9b73946a3,matched,CERDULATINIB,14,Tier 3
imev_077837e1e89db3fd,cdrug_f58fdfe1697da1c9,matched,LONDAMOCITINIB,15,Tier 2
imev_7dbf843599da2903,cdrug_e31f8ab133e9cdba,matched,IBERDOMIDE,16,Tier 3
imev_7f09ce58fc63f905,cdrug_48c33381342f928d,matched,BARICITINIB,17,Tier 2
imev_2bf0f07574229a6f,cdrug_86683458b87a205d,matched,PEFICITINIB,18,Tier 3
imev_da27cb7b8a57ff6e,cdrug_575c6385c524f680,matched,FEDRATINIB,19,Tier 2
imev_60b4260ebae0a8f2,cdrug_5327ddd6a8dfd4ff,matched,UPADACITINIB,20,Tier 2
imev_49915b9585997e36,cdrug_5d6b2e1a477d01ae,matched,LESTAURTINIB,21,Tier 3
imev_b4d3cb2d99c2ab92,cdrug_93ce5173efc14556,evidence_only,JNJ-7706621,22,Tier 2
imev_0a38319e8d42dba1,cdrug_53c80a3c0d50123d,matched,PACRITINIB,23,Tier 2
imev_dbbcc55143de5bd2,cdrug_fd8b3b58802cb6f2,matched,AT-9283,24,Tier 3
imev_3b44ae0fc25c9946,cdrug_941e9bd7e38f28d8,matched,REPOTRECTINIB,25,Tier 3
imev_d888710839e5d853,cdrug_fe58aa8064b2e87b,matched,BMS-911543,26,Tier 3
imev_fd2a41864087954e,cdrug_f118c0b3ad3f6604,matched,DECERNOTINIB,27,Tier 2
imev_ebdc894aa1198db7,cdrug_89d09223375c0b66,matched,CDP840,28,Tier 3
imev_cb404aab0892d7d2,cdrug_bfd53d5593322ba1,matched,MOMELOTINIB,29,Tier 3
imev_4d7c83433fd7709a,cdrug_5a6ce189f111e47c,matched,TOFACITINIB CITRATE,30,Tier 2
imev_d3f9a473bc773547,cdrug_6c95cca9e9b8fc23,matched,RUXOLITINIB,1,tier1_reference_anchor
imev_d3fe5166abeeb97e,cdrug_5a6ce189f111e47c,matched,TOFACITINIB,12,tier1_reference_anchor
imev_e19c103b020e9ddb,cdrug_5171ad46a038c047,matched,IBRUTINIB,2,tier2_cross_model_supported
imev_fa69b0f84d75d89b,cdrug_d2710deb05a2dc71,matched,BRANEBRUTINIB,3,tier2_cross_model_supported
imev_ebcac05a3d1894d9,cdrug_c1fbc2e27a32152b,matched,LUXEPTINIB,4,tier2_cross_model_supported
imev_094027e05126e003,cdrug_66e7da8131e061dc,matched,STAUROSPORINE,4,tier2_cross_model_supported
imev_271fc6dc53fb186c,cdrug_f80a574bcccb0323,matched,AZD-1480,6,tier2_cross_model_supported
imev_57e7ec7654c0c4d5,cdrug_4a29d26f8861fbe6,matched,NS-018,7,tier2_cross_model_supported
imev_352b0a2fbf6e26f8,cdrug_d7c443e54c9eadf0,matched,NEMTABRUTINIB,8,tier2_cross_model_supported
imev_c82a0f4ec6ceb606,cdrug_63bd67f24b93fc34,matched,ZANUBRUTINIB,8,tier2_cross_model_supported
imev_816d8c2a79124c15,cdrug_3edfd50510eef142,matched,BMS-986142,9,tier2_cross_model_supported
imev_2e9c48b5d3d45a6d,cdrug_8f45a22f1db916b3,matched,SOFNOBRUTINIB,9,tier2_cross_model_supported
imev_fa8ab2096b83b614,cdrug_ada9a241625f20a0,matched,ABIVERTINIB,10,tier2_cross_model_supported
imev_c1dcc81778168bad,cdrug_0abcecf22edf1da7,matched,ATINVICITINIB,12,tier2_cross_model_supported
imev_7a6cd0098f0a9a57,cdrug_6564ca080d113c11,matched,MILREBRUTINIB,14,tier2_cross_model_supported
imev_7f1ceee1ef5f56fd,cdrug_f58fdfe1697da1c9,matched,LONDAMOCITINIB,15,tier3_core_axis_supported
imev_b157d3b85dfd75ce,cdrug_6c95cca9e9b8fc23,matched,RUXOLITINIB,1,tier1_reference_anchor
imev_4127c51d8e5410b6,cdrug_5a6ce189f111e47c,matched,TOFACITINIB,12,tier1_reference_anchor
imev_770106159f4a1763,cdrug_5171ad46a038c047,matched,IBRUTINIB,2,tier2_cross_model_supported
imev_141c5dd7b92ac3cb,cdrug_d2710deb05a2dc71,matched,BRANEBRUTINIB,3,tier2_cross_model_supported
imev_1395f5b23fdc9056,cdrug_c1fbc2e27a32152b,matched,LUXEPTINIB,4,tier2_cross_model_supported
imev_dfceb303a0c21f89,cdrug_66e7da8131e061dc,matched,STAUROSPORINE,4,tier2_cross_model_supported
imev_43d8e0fb2af8c060,cdrug_f80a574bcccb0323,matched,AZD-1480,6,tier2_cross_model_supported
imev_fcaba34e01260754,cdrug_4a29d26f8861fbe6,matched,NS-018,7,tier2_cross_model_supported
imev_24ce025a8d2b36ec,cdrug_d7c443e54c9eadf0,matched,NEMTABRUTINIB,8,tier2_cross_model_supported
imev_8b260ee7241e6d4f,cdrug_63bd67f24b93fc34,matched,ZANUBRUTINIB,8,tier2_cross_model_supported
imev_7ca07abeee1b9337,cdrug_3edfd50510eef142,matched,BMS-986142,9,tier2_cross_model_supported
imev_b16675879af70fab,cdrug_8f45a22f1db916b3,matched,SOFNOBRUTINIB,9,tier2_cross_model_supported
imev_992cbdf20696c02e,cdrug_ada9a241625f20a0,matched,ABIVERTINIB,10,tier2_cross_model_supported
imev_652abd1d9fd103ce,cdrug_0abcecf22edf1da7,matched,ATINVICITINIB,12,tier2_cross_model_supported
imev_cd2819f425e434b4,cdrug_6564ca080d113c11,matched,MILREBRUTINIB,14,tier2_cross_model_supported
imev_5a3bacc4e6d810ce,cdrug_f58fdfe1697da1c9,matched,LONDAMOCITINIB,15,tier3_core_axis_supported
imev_65de1c90b6d30b11,cdrug_da0375af747f9b98,matched,Irinotecan,19,Tier1
imev_cce6c12104328869,cdrug_61a5e8e07ce664d1,matched,Docetaxel,3,Tier1
imev_ba3fb1db69bcc7fd,cdrug_c40413853cfa1088,matched,Topotecan,6,Tier2
imev_78ac0b0239a39b44,cdrug_20b83add6b9c4f21,matched,Paclitaxel,7,Tier1
imev_739160077647be5c,cdrug_a286fdd293b9be53,matched,Camptothecin,12,Tier2
imev_da4206b9f44fcfb2,cdrug_f8909ca4d8abdc96,matched,Vinblastine,15,Tier2
imev_434f261f165ea5ee,cdrug_b927e4cdcac90f13,matched,Vinorelbine,23,Tier2
imev_26f8be1d83e88285,cdrug_c8c9b4017be1244b,matched,Bleomycin (50 uM),1,Tier2
imev_f194b28904727216,cdrug_c8c9b4017be1244b,matched,Bleomycin,2,Tier2
imev_7428826ed24e7773,cdrug_34152dace9ff98c9,matched,Epirubicin,8,Tier2
imev_a9b52a48fabbe973,cdrug_32e12f4a864d093b,matched,Tozasertib,28,Tier2
imev_dd3c8f452bafa368,cdrug_ec25ee06790a07e7,matched,Temsirolimus,5,Tier2
imev_cc0df289f16aff1f,cdrug_9487650b5625fd2e,matched,Rapamycin,24,Tier2
imev_af375b00536154ca,cdrug_da0375af747f9b98,matched,Irinotecan,19,Tier1
imev_2094727079789ac2,cdrug_61a5e8e07ce664d1,matched,Docetaxel,3,Tier1
imev_0a7ed05d438d3da6,cdrug_ec25ee06790a07e7,matched,Temsirolimus,5,Tier2
imev_4fae1908a879d1e4,cdrug_c40413853cfa1088,matched,Topotecan,6,Tier2
imev_4a54b0a4116b9639,cdrug_20b83add6b9c4f21,matched,Paclitaxel,7,Tier1
imev_d4bcf04c2a31f0e4,cdrug_a286fdd293b9be53,matched,Camptothecin,12,Tier2
imev_6c698ee9b3810ce5,cdrug_f8909ca4d8abdc96,matched,Vinblastine,15,Tier2
imev_a1d03d501148c9e3,cdrug_b927e4cdcac90f13,matched,Vinorelbine,23,Tier2
imev_93d6806203729b1c,cdrug_c8c9b4017be1244b,matched,Bleomycin (50 uM),1,Tier2
imev_f632516a46e3f23c,cdrug_c8c9b4017be1244b,matched,Bleomycin,2,Tier2
imev_1c11e61f234caf27,cdrug_34152dace9ff98c9,matched,Epirubicin,8,Tier2
imev_cf85b4fc5bf7637f,cdrug_9487650b5625fd2e,matched,Rapamycin,24,Tier2
imev_8d8ebc2e903f1f6e,cdrug_32e12f4a864d093b,matched,Tozasertib,28,Tier2
imev_cd562a3f49539389,cdrug_da0375af747f9b98,matched,Irinotecan,19,Tier1
imev_f44978c280b447b1,cdrug_61a5e8e07ce664d1,matched,Docetaxel,3,Tier1
imev_fbacb3ddf197cd2f,cdrug_ec25ee06790a07e7,matched,Temsirolimus,5,Tier2
imev_00c68e2f77b70a27,cdrug_c40413853cfa1088,matched,Topotecan,6,Tier2
imev_d7734775a748fc90,cdrug_20b83add6b9c4f21,matched,Paclitaxel,7,Tier1
imev_1abe69786b322a7f,cdrug_a286fdd293b9be53,matched,Camptothecin,12,Tier2
imev_07548e6f3f7fde15,cdrug_f8909ca4d8abdc96,matched,Vinblastine,15,Tier2
imev_999ae9bb2db9448b,cdrug_b927e4cdcac90f13,matched,Vinorelbine,23,Tier2
imev_e63bd731ab3f183e,cdrug_c8c9b4017be1244b,matched,Bleomycin (50 uM),1,Tier2
imev_74f306d5f3dd05d8,cdrug_c8c9b4017be1244b,matched,Bleomycin,2,Tier2
imev_a7c1ff8d440da4a8,cdrug_34152dace9ff98c9,matched,Epirubicin,8,Tier2
imev_11d11e6cb917c63f,cdrug_9487650b5625fd2e,matched,Rapamycin,24,Tier2
imev_977ac9c78d9fa3af,cdrug_32e12f4a864d093b,matched,Tozasertib,28,Tier2
