candidate_id,canonical_drug_id,disease_id,rank,tier,score,evidence_summary,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,source_file,source_row_number
cand_410d0612be684cc5,cdrug_7d4a9d4ce4a3d480,IPF,8,Tier2,-0.1375403344708105,Approved/clinical drug hitting IPF-relevant target axis,,Clinical_Context_Hard_Fail,Clinical_Context_Hard_Fail,,hERG_prob>0.7 (0.717),DILI_prob>0.5 (0.639); CYP3A4_inhibition_prob>0.5 (0.513),IPF_final_tiered.csv,8
cand_760b4e46c015dc49,cdrug_764c019441dcdbc1,IPF,9,Tier4,-4.404797301413812,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.587); CYP3A4_inhibition_prob>0.5 (0.502); High_BBB_prob>0.7 (0.748),IPF_final_tiered.csv,9
cand_b64c65ff2b71e6ba,cdrug_764c019441dcdbc1,IPF,10,Tier4,-4.402420762619502,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.749); CYP3A4_inhibition_prob>0.5 (0.631); High_BBB_prob>0.7 (0.728),IPF_final_tiered.csv,10
cand_49cd86cf14628e1e,cdrug_764c019441dcdbc1,IPF,11,Tier4,-4.402420762619502,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.743); CYP3A4_inhibition_prob>0.5 (0.722); High_BBB_prob>0.7 (0.718),IPF_final_tiered.csv,11
cand_8f0dfa8192b88dfd,cdrug_764c019441dcdbc1,IPF,12,Tier4,-4.399579280076667,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.777); CYP3A4_inhibition_prob>0.5 (0.521); Low_Caco2_logPapp<-5.15 (-5.21),IPF_final_tiered.csv,12
cand_be4080382658e0e3,cdrug_764c019441dcdbc1,IPF,13,Tier4,-4.387690687283208,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.787); CYP3A4_inhibition_prob>0.5 (0.627); Low_Caco2_logPapp<-5.15 (-5.32),IPF_final_tiered.csv,13
cand_49c0d4ee7b8b87d4,cdrug_764c019441dcdbc1,IPF,14,Tier4,-4.372804416520248,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.767); CYP3A4_inhibition_prob>0.5 (0.640); High_BBB_prob>0.7 (0.702),IPF_final_tiered.csv,14
cand_a22e1eb9e5fd1faf,cdrug_764c019441dcdbc1,IPF,15,Tier4,-4.372175927193261,High model-ranked JAK1 lead,,Pass_With_Flags,Pass_With_Flags,,,DILI_prob>0.5 (0.604); High_BBB_prob>0.7 (0.720),IPF_final_tiered.csv,15
cand_db874e99188ec01d,cdrug_61a5e8e07ce664d1,LUNG,1,FDA_APPROVED_LUNG,0.625,,,PASS,PASS,False,,0,LUNG_final_admet.csv,1
cand_ddea491dbc563cb4,cdrug_20b83add6b9c4f21,LUNG,2,FDA_APPROVED_LUNG,0.5583333333333333,,,PASS,PASS,False,,0,LUNG_final_admet.csv,2
cand_e8368b388a97be20,cdrug_07e5800d7654ee82,LUNG,3,FDA_APPROVED_LUNG,0.2697973204950822,,,PASS,PASS,False,,0,LUNG_final_admet.csv,3
cand_21d37d22a594da33,cdrug_58450c4db13a14e1,LUNG,4,RESEARCH_PHASE,0.3650122025985619,,,PASS,PASS,False,,0,LUNG_final_admet.csv,4
