Rank,ChEMBL_ID,Drug_Name,Model_Rank,drug_level_score,Primary_Target,max_phase,Source,Tier,Tier_Description,SMILES,assay,task_type,predicted_value,admet_value,probability_positive
29,CHEMBL5769608,TGFBR1 lead compound,1015,-3.157977318757388,TGFBR1,,preclinical_lead,Tier4,Unnamed or preclinical lead,CC(=O)Nc1cc(Nc2nc(-c3ccccn3)nn3ccc(CN4CCOCC4)c23)ccn1,hia_hou,classification,,0.7651595656420493,0.7651595656420493
30,CHEMBL1784637,PDGFRA lead compound,950,-3.20412907579738,PDGFRA,,preclinical_lead,Tier4,Unnamed or preclinical lead,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,hia_hou,classification,,0.7627934630828967,0.7627934630828967
1,CHEMBL6059683,Unnamed JAK1 preclinical compound,1,-4.404797301413812,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CC[C@@H](C)CS(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,pgp_broccatelli,classification,,0.26323513833462986,0.26323513833462986
2,CHEMBL5945428,Unnamed JAK1 preclinical compound,2,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccncc2)C1,pgp_broccatelli,classification,,0.31298939133935716,0.31298939133935716
3,CHEMBL6020772,Unnamed JAK1 preclinical compound,3,-4.402420762619502,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccnc2)C1,pgp_broccatelli,classification,,0.33542684882056617,0.33542684882056617
4,CHEMBL5956808,Unnamed JAK1 preclinical compound,4,-4.399579280076667,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,pgp_broccatelli,classification,,0.3698968292183489,0.3698968292183489
5,CHEMBL6021211,Unnamed JAK1 preclinical compound,5,-4.387690687283208,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cn1cc2cc(S(=O)(=O)C[C@H]3C[C@@H](N(C)c4ncnc5[nH]ccc45)C3)ccc2n1,pgp_broccatelli,classification,,0.4804835964872565,0.4804835964872565
6,CHEMBL5777052,Unnamed JAK1 preclinical compound,6,-4.372804416520248,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cncc(F)c2)C1,pgp_broccatelli,classification,,0.38352269036019715,0.38352269036019715
7,CHEMBL3652405,Unnamed JAK1 preclinical compound,7,-4.372175927193261,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1,pgp_broccatelli,classification,,0.25226818644375204,0.25226818644375204
8,CHEMBL5885656,Unnamed JAK1 preclinical compound,8,-4.372069936947769,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cccc3ncccc23)C1,pgp_broccatelli,classification,,0.5068267530546001,0.5068267530546001
9,CHEMBL5883265,Unnamed JAK1 preclinical compound,9,-4.36987363523634,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2ccccc2Cl)C1,pgp_broccatelli,classification,,0.5078995491045154,0.5078995491045154
10,CHEMBL5784853,Unnamed JAK1 preclinical compound,10,-4.369612369501382,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cc1,pgp_broccatelli,classification,,0.4033076422440667,0.4033076422440667
11,CHEMBL5749084,Unnamed JAK1 preclinical compound,11,-4.363156678771032,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](CS(=O)(=O)c2cnc3ccoc3c2)C1,pgp_broccatelli,classification,,0.4255264644804184,0.4255264644804184
12,CHEMBL6064726,Unnamed JAK1 preclinical compound,12,-4.359809607582895,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1cc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cnc1OC,pgp_broccatelli,classification,,0.38371385631173593,0.38371385631173593
13,CHEMBL6031741,Unnamed JAK1 preclinical compound,13,-4.356020368196619,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C(F)(F)F)n1,pgp_broccatelli,classification,,0.45940134501974406,0.45940134501974406
14,CHEMBL6017191,Unnamed JAK1 preclinical compound,14,-4.35523455739966,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ncc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,pgp_broccatelli,classification,,0.37071178228237045,0.37071178228237045
15,CHEMBL3652403,Unnamed JAK1 preclinical compound,15,-4.344067383277476,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@@H](OC(=O)C(C)(C)C)C2)CC1,pgp_broccatelli,classification,,0.38693414128917736,0.38693414128917736
16,CHEMBL5931590,Unnamed JAK1 preclinical compound,16,-4.334092272426654,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,Cc1ccccc1S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,pgp_broccatelli,classification,,0.46189383463726635,0.46189383463726635
17,CHEMBL6065435,Unnamed JAK1 preclinical compound,17,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,COc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)c(C)n1,pgp_broccatelli,classification,,0.39559690230124145,0.39559690230124145
18,CHEMBL5950639,Unnamed JAK1 preclinical compound,18,-4.333881007839489,JAK1,,model_top20,Tier4,Unnamed or preclinical lead,CCOc1ccc(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)cn1,pgp_broccatelli,classification,,0.4057112712081232,0.4057112712081232
