disease,candidate_score,match_tags,key,size,last_modified
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_category_revised/FINAL_MULTIRESPONSE_REVISED_NOVEL_UNUSED_REPURPOSING_CANDIDATES.csv,1919,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_category_revised/FINAL_MULTIRESPONSE_REVISED_REPURPOSING_RECOMMENDED_CANDIDATES.csv,2279,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_CATEGORY_NEEDS_MANUAL_REVIEW.csv,4915,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_CURRENT_USE_BENCHMARK_CANDIDATES.csv,2102,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_DRUG_REPURPOSING_CATEGORY_TABLE.csv,11868,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_INDICATION_EXPANSION_CANDIDATES.csv,5497,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_NOVEL_UNUSED_REPURPOSING_CANDIDATES.csv,323,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/FINAL_MULTIRESPONSE_REPURPOSING_RECOMMENDED_CANDIDATES.csv,5497,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/cancer_approved_drug_mapping_table.csv,20725,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/final_multiresponse_ev_admet_integrated_ranking.csv,30168,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet,ranking",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/final_multiresponse_ev_admet_integrated_ranking.pre_protocol_backup.csv,30159,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/step7_admet60_multiresponse_raw_predictions.csv,194770,2026-04-28T11:04:47+00:00
BRCA,14,"final,top15,top30,admet",20260408_new_pre_project_biso/202604_Final_data/BRCA/20260415_preproject_choi_protocol_v1_bisotest-1/20260415_preproject_choi_protocol_v1_bisotest/results/20260424_multicancer_stad_protocol_rerun/restored_protocol_top30_ev_top15_admet_multiresponse/final_update/step7_admet60_multiresponse_rdkit_descriptors.csv,12738,2026-04-28T11:04:47+00:00
