canonical_drug_id,DRUG_NAME,nct_id,ct_drug_name,ct_status,match_type
1819,Docetaxel,NCT07361484,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT05431270,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT02495896,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00514293,docetaxel,UNKNOWN,exact_name_or_synonym
1819,Docetaxel,NCT05096663,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT06616584,docetaxel,RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00378404,docetaxel,TERMINATED,exact_name_or_synonym
1819,Docetaxel,NCT02486718,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00069160,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00049296,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00356122,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00003565,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00600496,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT01160705,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT07416994,docetaxel,NOT_YET_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00193427,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT01168973,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT03137771,docetaxel,ACTIVE_NOT_RECRUITING,exact_name_or_synonym
1819,Docetaxel,NCT00390429,docetaxel,COMPLETED,exact_name_or_synonym
1819,Docetaxel,NCT00003231,docetaxel,COMPLETED,exact_name_or_synonym
