canonical_drug_id,DRUG_NAME,cosmic_drug_field,cosmic_drug_value,GENOMIC_MUTATION_ID,TRIAL_ID
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pyrotinib,Trastuzumab",,NCT03847818
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Metformin,Pertuzumab,Trastuzumab",,NCT03238495
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel or Paclitaxel,Epirubicin,Pertuzumab,Tocotrienol,Trastuzumab",,NCT02909751
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Doxorubicin hydrochloride liposome,Metformin,Trastuzumab",,NCT02488564
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pyrotinib",,NCT03876587
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Docetaxel,Epirubicin",,NCT01690325
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Capecitabine,Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT01641406
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Doxorubicin hydrochloride,Trastuzumab,Zoledronic acid",,NCT01472146
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pegfilgrastim,Trastuzumab",,NCT01367028
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Docetaxel,Pegfilgrastim,Trastuzumab",,NCT01367028
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Lapatinib",,NCT01044485
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Capecitabine,Docetaxel,Trastuzumab",,NCT00964704
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Pertuzumab,Trastuzumab",,NCT00976989
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Lapatinib,Trastuzumab",,NCT01485926
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Lapatinib",,NCT00841828
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Lapatinib",,NCT00450892
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Lapatinib,Trastuzumab",,NCT00450892
1819,Docetaxel,DRUG_COMBINATION,"Capecitabine,Docetaxel,Lapatinib,Nab-paclitaxel",,NCT00479856
1819,Docetaxel,DRUG_COMBINATION,"Cisplatin,Docetaxel,Trastuzumab",,NCT00535509
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Trastuzumab",,NCT00493649
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Gefitinib",,NCT00319618
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Carboplatin,Docetaxel,Trastuzumab",,NCT00365365
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Carboplatin,Docetaxel,Trastuzumab",,NCT00446030
