feature,importance,feature_group
emb_781,0,image_embedding
emb_782,0,image_embedding
emb_783,0,image_embedding
emb_784,0,image_embedding
emb_785,0,image_embedding
emb_786,0,image_embedding
emb_787,0,image_embedding
emb_788,0,image_embedding
emb_789,0,image_embedding
emb_790,0,image_embedding
emb_791,0,image_embedding
emb_792,0,image_embedding
emb_793,0,image_embedding
emb_794,0,image_embedding
emb_795,0,image_embedding
emb_796,0,image_embedding
emb_797,0,image_embedding
emb_798,0,image_embedding
emb_799,0,image_embedding
emb_800,0,image_embedding
emb_801,0,image_embedding
emb_802,0,image_embedding
emb_803,0,image_embedding
emb_804,0,image_embedding
emb_805,0,image_embedding
emb_806,0,image_embedding
emb_807,0,image_embedding
emb_808,0,image_embedding
emb_809,0,image_embedding
emb_810,0,image_embedding
emb_811,0,image_embedding
emb_812,0,image_embedding
emb_813,0,image_embedding
emb_814,0,image_embedding
emb_815,0,image_embedding
emb_816,0,image_embedding
emb_817,0,image_embedding
emb_818,0,image_embedding
emb_819,0,image_embedding
emb_820,0,image_embedding
emb_821,0,image_embedding
emb_822,0,image_embedding
emb_823,0,image_embedding
emb_824,0,image_embedding
emb_825,0,image_embedding
emb_826,0,image_embedding
emb_827,0,image_embedding
emb_828,0,image_embedding
emb_829,0,image_embedding
emb_830,0,image_embedding
emb_831,0,image_embedding
emb_832,0,image_embedding
emb_833,0,image_embedding
emb_834,0,image_embedding
emb_835,0,image_embedding
emb_836,0,image_embedding
emb_837,0,image_embedding
emb_838,0,image_embedding
emb_839,0,image_embedding
emb_840,0,image_embedding
emb_841,0,image_embedding
emb_842,0,image_embedding
emb_843,0,image_embedding
emb_844,0,image_embedding
emb_845,0,image_embedding
emb_846,0,image_embedding
emb_847,0,image_embedding
emb_848,0,image_embedding
emb_849,0,image_embedding
emb_850,0,image_embedding
emb_851,0,image_embedding
emb_852,0,image_embedding
emb_853,0,image_embedding
emb_854,0,image_embedding
emb_855,0,image_embedding
emb_856,0,image_embedding
emb_857,0,image_embedding
emb_858,0,image_embedding
emb_859,0,image_embedding
emb_860,0,image_embedding
emb_861,0,image_embedding
emb_862,0,image_embedding
emb_863,0,image_embedding
emb_864,0,image_embedding
emb_865,0,image_embedding
emb_866,0,image_embedding
emb_867,0,image_embedding
emb_868,0,image_embedding
emb_869,0,image_embedding
emb_870,0,image_embedding
emb_871,0,image_embedding
emb_872,0,image_embedding
emb_873,0,image_embedding
emb_874,0,image_embedding
emb_875,0,image_embedding
emb_876,0,image_embedding
emb_877,0,image_embedding
emb_878,0,image_embedding
emb_879,0,image_embedding
emb_880,0,image_embedding
emb_881,0,image_embedding
