model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.3246753246753247,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.28169014084507044,0,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.3246753246753247,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.20512820512820512,0,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.20512820512820512,0,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.20512820512820512,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.2361111111111111,10,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.2289156626506024,5,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,half_life_obach,Excretion,Half-Life,regression,no_match,0.2361111111111111,10,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2361111111111111,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.2361111111111111,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.21052631578947367,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.23684210526315788,4,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.2535211267605634,1,no_data
LightGBM,CHEMBL4594420,LUXEPTINIB,4,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.24390243902439024,-3,no_data
