family,stem,eval_mode,model,train_spearman_mean,val_spearman_mean,train_spearman_std,val_spearman_std,gap_spearman_mean,diagnostic,json_file
ml,stad_numeric_context_smiles_ml_v1,cv5,RandomForest,0.9837995556558404,0.8506303095604915,0.0003717250618990469,0.011476550225978233,0.13316924609534894,,stad_numeric_context_smiles_ml_v1_cv5.json
ml,stad_numeric_context_smiles_ml_v1,cv5,SVR_RBF,0.40432366875393544,0.4003902783400946,0.005499482395123823,0.026443200487345307,0.003933390413840809,,stad_numeric_context_smiles_ml_v1_cv5.json
ml,stad_numeric_context_smiles_ml_v1,cv5,XGBoost,0.9954241235621002,0.8570375243198397,0.00037753117942753957,0.012174769160222795,0.13838659924226038,Overfitting detected in 1 fold(s),stad_numeric_context_smiles_ml_v1_cv5.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,CatBoost,0.9733328504172377,0.5225248891325512,0.004162587365000275,0.004995258086708407,0.45080796128468653,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,ExtraTrees,1.0,0.46370191810186245,0.0,0.06819684776635439,0.5362980818981375,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,LightGBM,0.9989229968635821,0.45949846388462107,4.46975181956532e-05,0.060618203504988095,0.539424532978961,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,RandomForest,0.9837559459782862,0.47296098054235264,0.001116456834162457,0.03956310377021576,0.5107949654359335,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,SVR_RBF,0.39990544857175503,0.35823119757987093,0.027806320986383422,0.02578412512686294,0.04167425099188413,,stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,groupcv,XGBoost,0.9973673698446563,0.4948818809410344,4.2461745456694934e-05,0.043762821232161846,0.502485488903622,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_groupcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,CatBoost,0.9739800901660064,0.4637552518705763,0.0017410307916195349,0.09032085149134485,0.5102248382954301,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,ExtraTrees,1.0,0.43519667255919536,1.2819751242557092e-16,0.09697726735669567,0.5648033274408045,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,LightGBM,0.9988428966346435,0.41679837086772215,6.415335087665925e-05,0.11958158305541312,0.5820445257669213,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,RandomForest,0.9836285123525879,0.4408902656986858,0.00044900490233601865,0.10077641267987916,0.542738246653902,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,SVR_RBF,0.4033998196525186,0.32969730471286357,0.04486178262842318,0.10046821105871996,0.073702514939655,Overfitting detected in 1 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_context_smiles_ml_v1,scaffoldcv,XGBoost,0.9975369951245208,0.4563137869143962,0.0002460606445243741,0.09977582316389724,0.5412232082101245,Overfitting detected in 3 fold(s),stad_numeric_context_smiles_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,cv5,CatBoost,0.9590496418479475,0.8572341516283164,0.0019677233720717096,0.013059502782468852,0.10181549021963113,,stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,cv5,ExtraTrees,1.0,0.849457936629373,4.965068306494546e-17,0.013169023393189207,0.15054206337062703,Overfitting detected in 2 fold(s),stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,cv5,LightGBM,0.9972358503168902,0.8576541502644937,0.00018832018763202823,0.01244214497992671,0.1395817000523965,Overfitting detected in 2 fold(s),stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,cv5,RandomForest,0.9837802998124217,0.8512343468401221,0.0002757873354375081,0.012293047012245543,0.1325459529722994,,stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,cv5,SVR_RBF,0.40428957639428986,0.40039291875813054,0.005484274240312051,0.02648216269278456,0.003896657636159395,,stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,cv5,XGBoost,0.9934975967531423,0.8592596768161596,0.00033520159294147026,0.01290402137537623,0.13423791993698286,Overfitting detected in 1 fold(s),stad_numeric_ml_v1_cv5.json
ml,stad_numeric_ml_v1,groupcv,CatBoost,0.9668764633433793,0.5393507963753339,0.003929401522949332,0.02966012879152298,0.4275256669680454,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,groupcv,ExtraTrees,1.0,0.4651158608009904,0.0,0.060981818034006284,0.5348841391990097,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,groupcv,LightGBM,0.9979776795668968,0.49809367294460777,0.00019332909451371045,0.0839792747146001,0.4998840066222889,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,groupcv,RandomForest,0.983751574081346,0.4931287826156406,0.0012322087996512457,0.061542905931600486,0.49062279146570537,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,groupcv,SVR_RBF,0.3998053380414612,0.35832745485878315,0.027726904144417808,0.02588447530636701,0.04147788318267798,,stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,groupcv,XGBoost,0.9960691780528924,0.5134865248438841,0.0001749527622680828,0.0683677834349661,0.48258265320900834,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_groupcv.json
ml,stad_numeric_ml_v1,scaffoldcv,CatBoost,0.9670742937301057,0.45965112907523425,0.003237976442326006,0.06506133230239174,0.5074231646548714,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,scaffoldcv,ExtraTrees,1.0,0.42821391533391395,1.2819751242557092e-16,0.08867915186522357,0.571786084666086,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,scaffoldcv,LightGBM,0.9976673685505713,0.400037923262814,0.0002644481954049254,0.09082164220507698,0.5976294452877572,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,scaffoldcv,RandomForest,0.9836182712180497,0.42105751170980027,0.000440425266529377,0.09893031631676662,0.5625607595082494,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,scaffoldcv,SVR_RBF,0.4033223767371931,0.32976683733952505,0.04482550942618934,0.10051625813293004,0.07355553939766803,Overfitting detected in 1 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_ml_v1,scaffoldcv,XGBoost,0.996014534685107,0.44838836062890236,0.0006103756355772327,0.09343654349666232,0.5476261740562046,Overfitting detected in 3 fold(s),stad_numeric_ml_v1_scaffoldcv.json
ml,stad_numeric_smiles_ml_v1,cv5,CatBoost,0.9604605483190675,0.859055703909061,0.0014578720018127512,0.013831364392881748,0.10140484441000634,,stad_numeric_smiles_ml_v1_cv5.json
