index,part,slide_id,source_file,tcga_case_id,best_cluster,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
63,part01,TCGA-A8-A09A-01Z-00-DX1.78773A6C-BA8A-46BE-AC2A-9C6FDAB45622,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09A-01Z-00-DX1.78773A6C-BA8A-46BE-AC2A-9C6FDAB45622_20260430_v1.npy,TCGA-A8-A09A,C1,-0.8724848,-24.428852,6.3562894,9.037465,10.271358,3.4203138,-3.3816624,0.12529688,3.686794,1.1205215
64,part01,TCGA-A8-A09B-01Z-00-DX1.97CCDA89-AB73-4F05-A900-668160227B78,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09B-01Z-00-DX1.97CCDA89-AB73-4F05-A900-668160227B78_20260430_v1.npy,TCGA-A8-A09B,C1,0.63917243,-28.902712,7.0362864,11.419281,8.580043,-1.337918,-3.7161639,-3.6981678,1.7612481,4.465446
65,part01,TCGA-A8-A09D-01Z-00-DX1.66312A8A-88BA-4B58-96DF-1A7AC39F9E4A,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09D-01Z-00-DX1.66312A8A-88BA-4B58-96DF-1A7AC39F9E4A_20260430_v1.npy,TCGA-A8-A09D,C1,6.2606077,-23.084936,1.3541019,8.717679,9.316395,-4.010118,-6.6221485,1.7490764,0.31072754,0.12399073
66,part01,TCGA-A8-A09Q-01Z-00-DX1.C7240AFB-5971-4577-812C-A255C249001A,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09Q-01Z-00-DX1.C7240AFB-5971-4577-812C-A255C249001A_20260430_v1.npy,TCGA-A8-A09Q,C1,3.8307464,-25.896845,1.2900423,11.485062,6.9703965,-3.751223,-12.261024,1.156769,5.6341906,-1.9306026
67,part01,TCGA-A8-A09T-01Z-00-DX1.4183BBA4-AF11-4602-9EC2-35083C34A393,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09T-01Z-00-DX1.4183BBA4-AF11-4602-9EC2-35083C34A393_20260430_v1.npy,TCGA-A8-A09T,C1,4.0487657,-25.900492,9.49167,2.1430306,10.47426,7.7980356,0.38959935,5.684783,-2.125709,-1.5780185
68,part01,TCGA-A8-A09V-01Z-00-DX1.2D6731CA-5712-4EB8-8602-E53301BF4238,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A09V-01Z-00-DX1.2D6731CA-5712-4EB8-8602-E53301BF4238_20260430_v1.npy,TCGA-A8-A09V,C1,5.470428,-32.565704,8.813801,11.796071,15.566201,3.4140887,3.9445806,-3.583924,2.4499896,2.137879
69,part01,TCGA-A8-A0AD-01Z-00-DX1.A831FB53-7605-4138-9341-6BBCA284441C,_tmp_merge_shard00/part01/slide_embedding_TCGA-A8-A0AD-01Z-00-DX1.A831FB53-7605-4138-9341-6BBCA284441C_20260430_v1.npy,TCGA-A8-A0AD,C1,0.9904461,-30.077183,8.813754,13.854829,9.6338625,-3.3621728,-4.995139,1.5433292,2.2457657,7.5666895
70,part01,TCGA-AC-A2FE-01Z-00-DX1.C036AE58-3C0D-4DBF-B658-296D03FD6701,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A2FE-01Z-00-DX1.C036AE58-3C0D-4DBF-B658-296D03FD6701_20260430_v1.npy,TCGA-AC-A2FE,C0,-8.127909,6.2504444,3.9571266,-2.3586957,1.6448174,-2.7966754,-1.5680296,8.945401,6.0416536,0.67521286
71,part01,TCGA-AC-A2QI-01Z-00-DX1.977549F4-D866-4465-85FB-5C916282A488,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A2QI-01Z-00-DX1.977549F4-D866-4465-85FB-5C916282A488_20260430_v1.npy,TCGA-AC-A2QI,C2,2.0889256,-4.2585087,4.87001,-6.376869,8.089057,6.460043,7.5545897,8.012582,-0.9656858,-4.4619403
72,part01,TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A3TN-01Z-00-DX1.F00E81C7-0CA2-49E8-A30F-DE423538E93C_20260430_v1.npy,TCGA-AC-A3TN,C0,-10.428038,9.816139,10.911759,2.1272898,14.8372135,10.298937,-0.79109895,4.4522185,4.2750635,-0.26354477
73,part01,TCGA-AC-A3W6-01Z-00-DX1.88CC534C-F032-4E5D-9CC4-4BB50AA46880,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A3W6-01Z-00-DX1.88CC534C-F032-4E5D-9CC4-4BB50AA46880_20260430_v1.npy,TCGA-AC-A3W6,C2,20.59454,4.1513643,2.198389,1.9517426,20.163788,2.30115,25.012287,9.198918,-6.716219,-1.7998704
74,part01,TCGA-AC-A5EH-01Z-00-DX1.DF59B26B-379F-4047-B7AE-4493810D30A0,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A5EH-01Z-00-DX1.DF59B26B-379F-4047-B7AE-4493810D30A0_20260430_v1.npy,TCGA-AC-A5EH,C0,-4.4812346,-0.16178787,-12.7819605,7.5166407,11.0308075,0.5733809,9.827411,3.741146,0.38104826,-0.90617377
75,part01,TCGA-AC-A62V-01Z-00-DX1.2D8994FD-58B8-43C1-B99D-AA964E7DFD60,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A62V-01Z-00-DX1.2D8994FD-58B8-43C1-B99D-AA964E7DFD60_20260430_v1.npy,TCGA-AC-A62V,C0,-2.3258991,-5.2890425,-14.740956,11.304102,8.227447,-4.0603642,4.202378,0.7919823,-1.6176188,-1.500001
76,part01,TCGA-AC-A62Y-01Z-00-DX1.5075F4DA-488C-40AD-BD73-6DE8953E1864,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A62Y-01Z-00-DX1.5075F4DA-488C-40AD-BD73-6DE8953E1864_20260430_v1.npy,TCGA-AC-A62Y,C2,3.1172953,-4.858911,-7.3766227,7.902659,11.34045,1.8096147,3.6099718,-3.209036,-3.3313477,1.12508
77,part01,TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60,_tmp_merge_shard00/part01/slide_embedding_TCGA-AC-A8OS-01Z-00-DX1.3FD44846-8BD2-4A7A-9A87-8D3D29C25F60_20260430_v1.npy,TCGA-AC-A8OS,C0,-4.3217664,8.443125,-12.665784,3.4835205,15.843957,6.7341704,15.020228,7.7459116,7.8169036,-4.4763775
78,part01,TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4_20260430_v1.npy,TCGA-AN-A03Y,C3,20.35275,3.7478719,11.736883,24.30621,-15.184242,-1.9023099,6.5676613,7.792004,1.3507704,-4.1636515
79,part01,TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0AJ-01Z-00-DX1.74EE47B0-FE27-44CF-9355-C738DE1BD017_20260430_v1.npy,TCGA-AN-A0AJ,C0,-15.894277,-7.0251994,-7.4282975,0.24233739,-13.578239,2.558772,-4.8441358,5.0914335,-9.436758,-2.7706678
80,part01,TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4_20260430_v1.npy,TCGA-AN-A0AL,C0,-2.3944733,-3.883034,-5.7795534,-1.8764553,-14.857302,-4.063084,-9.502233,1.7311131,-11.646873,6.112314
81,part01,TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0AT-01Z-00-DX1.DFD68CD2-C25E-47BE-BC06-8CE3C657B9FD_20260430_v1.npy,TCGA-AN-A0AT,C0,-12.628811,-4.6332793,-6.2640967,4.9512362,-9.373539,-3.1316342,-7.4517756,9.136662,-8.449559,6.065989
82,part01,TCGA-AN-A0FK-01Z-00-DX1.8966A1D5-CE3A-4B08-A1F6-E613BEB1ABD1,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0FK-01Z-00-DX1.8966A1D5-CE3A-4B08-A1F6-E613BEB1ABD1_20260430_v1.npy,TCGA-AN-A0FK,C0,-11.310483,-10.624297,-7.5636578,-3.7397645,-13.276138,7.140199,-6.492466,7.0296507,-9.790467,-5.084255
83,part01,TCGA-AN-A0FS-01Z-00-DX1.104368C2-28DA-4E43-8B27-78336AD5ABC8,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0FS-01Z-00-DX1.104368C2-28DA-4E43-8B27-78336AD5ABC8_20260430_v1.npy,TCGA-AN-A0FS,C0,-23.493399,1.5356965,4.5607467,0.73299557,1.6405624,14.21866,2.1874352,8.779335,-2.3411164,-0.06322006
84,part01,TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F,_tmp_merge_shard00/part01/slide_embedding_TCGA-AN-A0FT-01Z-00-DX1.6F263AB3-FB1D-4056-AEC2-4F163017324F_20260430_v1.npy,TCGA-AN-A0FT,C0,-19.680971,-4.3157706,-5.704269,-3.0696707,-12.058022,12.328927,-3.2355263,10.87675,-9.101672,-3.1131623
